FIPS,Geography,2017 Population,2017 Median Age,2017 Total households,2017 Median HHIncome,2017 Average household size,2017 Total families,2017 Average family size,2017 Percent owner-occupied housing units,2017 Percent renter-occupied housing units,2017 Population 16 years and over,2017 Unemployment rate (Population 16 years and over)
39580,"Raleigh, NC Metro Area",1273985,36.3,471659,68870,2.65,321088,3.18,65.6,34.4,992278,5.2
39660,"Rapid City, SD Metro Area",143711,38.3,58033,52683,2.39,37791,2.92,69.9,30.1,113416,3.7
39700,"Raymondville, TX Micro Area",21839,33.4,5737,29104,3.51,4689,3.91,77.8,22.2,16965,14.5
39740,"Reading, PA Metro Area",415500,39.9,153876,59580,2.61,106020,3.12,72.2,27.8,332475,7.3
39780,"Red Bluff, CA Micro Area",63247,41.1,23712,42512,2.63,16214,3.13,67.2,32.8,49743,10.1
39860,"Red Wing, MN Micro Area",46138,42.9,19345,62431,2.34,13039,2.82,74.6,25.4,36992,4.2
39820,"Redding, CA Metro Area",178919,41.8,70486,47258,2.49,45292,3.02,62.6,37.4,144794,6.8
39900,"Reno, NV Metro Area",449442,38.2,175184,58654,2.53,108003,3.15,57.9,42.1,361680,6.8
39940,"Rexburg, ID Micro Area",51130,24.4,15016,39506,3.33,12035,3.52,56.2,43.8,38584,8.4
39980,"Richmond, IN Micro Area",66972,41.1,26397,41813,2.44,17310,3.0,67.4,32.6,53898,6.5
40060,"Richmond, VA Metro Area",1270158,38.5,479256,63599,2.57,310480,3.18,65.5,34.5,1021875,6.3
40080,"Richmond-Berea, KY Micro Area",105191,35.3,39588,44778,2.48,25458,3.04,61.8,38.2,85214,7.3
40100,"Rio Grande City, TX Micro Area",63420,28.8,16320,27133,3.85,13314,4.4,74.4,25.6,44771,15.0
40140,"Riverside-San Bernardino-Ontario, CA Metro Area",4476222,34.0,1335366,59173,3.28,996035,3.81,62.3,37.7,3428043,9.9
40180,"Riverton, WY Micro Area",40354,38.3,15167,55013,2.6,9893,3.2,70.5,29.5,31232,6.0
40260,"Roanoke Rapids, NC Micro Area",72726,44.6,30026,33558,2.35,19598,2.91,64.9,35.1,59332,9.7
40220,"Roanoke, VA Metro Area",313069,42.6,129549,52609,2.35,82716,2.92,68.5,31.5,255932,5.4
40300,"Rochelle, IL Micro Area",51619,41.9,20830,57655,2.45,14236,2.93,74.9,25.1,41177,6.5
40340,"Rochester, MN Metro Area",214485,38.4,84975,69003,2.48,57705,2.99,76.0,24.0,167252,3.9
40380,"Rochester, NY Metro Area",1080653,39.9,431327,55256,2.41,267583,3.02,67.1,32.9,880207,6.3
40540,"Rock Springs, WY Micro Area",44527,34.0,16269,71083,2.7,11224,3.25,73.8,26.2,33763,5.2
40420,"Rockford, IL Metro Area",341150,39.4,133200,52360,2.53,88292,3.1,68.0,32.0,268514,9.7
40460,"Rockingham, NC Micro Area",45447,40.2,18371,33607,2.4,11903,2.99,65.5,34.5,36104,10.0
40580,"Rocky Mount, NC Metro Area",148157,41.2,58309,41593,2.49,38769,3.07,63.0,37.0,118485,8.7
40620,"Rolla, MO Micro Area",44873,34.8,17330,41681,2.41,10747,2.95,60.9,39.1,36428,6.3
40660,"Rome, GA Metro Area",96471,38.3,35506,46096,2.6,24711,3.14,60.2,39.8,76229,7.5
40700,"Roseburg, OR Micro Area",107576,47.0,44828,44023,2.36,29363,2.82,68.0,32.0,89306,8.9
40740,"Roswell, NM Micro Area",65454,35.3,23343,42177,2.72,16125,3.31,68.0,32.0,50052,6.3
40760,"Ruidoso, NM Micro Area",19497,50.9,7902,42145,2.45,4999,3.09,78.3,21.7,16339,5.2
40780,"Russellville, AR Micro Area",84973,36.3,30702,40351,2.64,20219,3.25,68.0,32.0,67365,7.1
40820,"Ruston, LA Micro Area",47536,27.6,17370,34424,2.54,10478,3.05,54.5,45.5,39082,8.8
40860,"Rutland, VT Micro Area",59676,46.4,25160,52635,2.28,15099,2.89,72.1,27.9,50368,4.7
40900,"Sacramento--Roseville--Arden-Arcade, CA Metro Area",2268005,37.0,811543,64407,2.75,542572,3.32,59.5,40.5,1798151,8.1
40940,"Safford, AZ Micro Area",37700,33.1,10976,48173,3.04,7670,3.67,68.0,32.0,28550,12.2
40980,"Saginaw, MI Metro Area",193803,40.8,78482,45034,2.39,49108,3.0,71.7,28.3,156835,8.2
41400,"Salem, OH Micro Area",104584,43.8,41582,45498,2.42,28511,2.92,73.2,26.8,85281,7.5
41420,"Salem, OR Metro Area",410119,36.3,145205,54304,2.74,98917,3.27,60.7,39.3,319957,7.1
41460,"Salina, KS Micro Area",61291,38.4,24731,49897,2.41,15647,3.03,68.2,31.8,48326,4.1
41500,"Salinas, CA Metro Area",433168,33.9,125939,63249,3.3,91206,3.86,50.7,49.3,330852,6.0
41540,"Salisbury, MD-DE Metro Area",394925,44.6,153289,56283,2.49,102683,2.99,73.2,26.8,325978,6.9
